date,open,high,low,close,volume,marcap
2022-11-25,737.46,737.53,732.48,733.56,710328850,339637553238086
2022-11-28,731.81,731.81,717.13,717.9,878676916,332414215094245
2022-11-29,715.02,727.6,713.26,727.54,794007803,336927388299632
2022-11-30,726.56,729.54,722.4,729.54,813568793,337947065677640
2022-12-01,740.97,744.56,739.16,740.6,825110488,343075080230538
2022-12-02,740.13,740.18,732.41,732.95,856591397,339643001144892
2022-12-05,736.45,739.77,731.07,733.32,1058482673,339917270391513
2022-12-06,726.32,727.34,719.29,719.44,926869131,333769906652176
2022-12-07,715.63,722.62,711.63,718.14,982850616,333420326905253
2022-12-08,718.37,719.69,711.08,712.52,1069811230,330917120166935
2022-12-09,717.24,721.14,712.4,719.49,1278548475,334174610218005
2022-12-12,716.88,718.31,714.26,715.22,964001067,332248030270132
2022-12-13,717.64,719.33,712.21,715.16,1191298483,332194007303160
2022-12-14,718.17,729.17,718.17,729.0,1082237656,338621742436927
2022-12-15,725.32,730.51,721.46,722.68,957408065,335706650690362
2022-12-16,711.33,720.48,710.2,717.41,889444273,333728481678709
2022-12-19,716.8,722.42,714.63,717.22,776382980,333338382026031
2022-12-20,715.13,715.29,701.44,703.13,977951443,326822623464700
2022-12-21,708.13,709.95,701.61,705.7,938032477,327971511518424
2022-12-22,710.47,715.35,709.52,715.02,851987960,332311677394446
2022-12-23,704.93,704.93,691.25,691.25,1107302430,321813279703994
2022-12-26,691.94,696.96,686.8,694.68,797707556,323390640890782
2022-12-27,697.25,704.21,697.25,704.19,901437356,327910002219152
2022-12-28,699.24,699.39,691.01,692.37,834832047,321475844186489
2022-12-29,691.35,693.12,675.8,679.29,952158164,315498720104122
2023-01-02,683.84,688.77,670.38,671.51,742766883,311897723962202
2023-01-03,672.18,675.75,660.32,674.95,935983853,313443983727042
2023-01-04,670.18,683.67,667.3,683.67,901765440,317540886338069
2023-01-05,685.78,688.35,677.77,679.92,885279201,315902966634724
2023-01-06,677.28,691.17,676.4,688.94,818505863,320090411554481
2023-01-09,695.02,701.21,695.02,701.21,1008250417,325718026654199
2023-01-10,700.16,704.6,694.92,696.05,1158010390,323644848790326
2023-01-11,701.29,710.29,701.29,709.77,1247665887,329777375205274
